years_after_2002,region,walk,walk_1_mile_plus,bicycle,car_driver,car_passenger,motorcycle,other_private_transport,bus_in_london,other_local_bus,non_local_bus,london_underground,surface_rail,taxi,other_public_transport,all_modes,all_modes_excl_short_walk,wnweighted_sample,year
3,South West,325.766861188413,173.65796206986954,78.66924336841055,7314.72623269977,3833.2110350694907,80.62275362915197,367.62957188986314,1.744515191030986,315.3246962162714,127.90028169290703,8.280444081151039,492.1000094502066,63.987060984349476,73.65665042564369,13083.619355886656,12931.510456768116,5691.35,2005
4,North East,316.5724245876521,178.8986752687013,39.955836276565016,5157.454494098147,2539.8838890902816,47.70574387054612,243.94969060500753,0,544.2502893343388,151.8638405473264,0.8300400702258592,432.4253563063822,112.0576416679549,300.8251958959973,9887.77444235043,9750.10069303148,2946.3,2006
4,North West,363.29090179826306,197.48973743054677,55.98280608915507,5734.441464643533,3086.86751542966,52.29531974437224,186.52620169642216,1.9386329317025321,484.7839254734937,85.22983309467477,6.426629748432842,573.8928230177415,92.51551548443331,55.14234104374367,10779.333910195617,10613.5327458279,7689.360000000001,2006
4,Yorkshire and The Humber,342.42474567275855,193.87742933386207,56.98132650422905,5936.544337914209,3510.0985478924963,60.530154890843626,295.13559429383037,1.0514484514135907,470.3432362554215,164.27149684325408,6.658874542413618,624.2046019800208,94.57091648487487,31.194839191248157,11594.010120917023,11445.462804578114,5511.030000000001,2006
4,East Midlands,358.58066606389417,199.34692290793492,75.03122305081035,6294.432331556667,3296.822634742773,43.01571094945734,233.96719630981588,1.2244954005106181,377.0085466899881,90.22855342905424,15.33468773720682,591.5555397005415,88.64225197822574,41.00044149982829,11506.844279108776,11347.610535952821,4813.9000000000005,2006
4,West Midlands,279.77892295569995,144.5103559198439,30.900018870277524,5875.650482773617,3370.8556830790876,45.00980304672238,176.6655942744782,0.14651737581972715,463.5046863636955,143.55455651759115,3.0453443968402056,286.14881251519256,72.6736655491004,43.1185668975675,10791.052654615705,10655.784087579852,5915.14,2006
4,East of England,334.70116366747635,176.6050942456134,73.54126188184024,6984.709455272192,3895.35764813611,98.14896299198611,247.54801408506498,5.865508152252318,258.69715258509297,76.31746008919066,83.04208033952577,1078.5911819935177,89.63859593911651,78.22579143760902,13304.384276570967,13146.288207149113,6089.02,2006
4,London,389.03451142567303,173.76012379190774,86.15014350400904,2972.960038295943,1861.3559976949232,58.52420747129404,91.40204276690838,791.7435386963066,7.139097223493495,84.6238028183341,747.0659632598033,1279.040293520598,103.64967884910767,221.02492038347435,8693.71423590986,8478.439848276103,7106.540000000001,2006
4,South East,314.7622895877248,179.61542545642612,71.76189734157562,7197.1488277159815,3880.0910216113066,73.01552453007939,186.76004415741687,13.07757293167055,263.17280402837565,81.13472694519318,40.1772263759988,1122.31070091719,97.7241709107734,184.4817557994603,13525.618562852733,13390.471698721447,8423.52,2006
4,South West,346.07975935581413,193.44608076709596,71.0329447548256,7042.8070325233275,3900.72169670243,48.919890999078746,349.3800252420482,3.547031902297618,294.744731893086,193.52040998715825,9.441342136559522,506.8611032889303,66.96859039309253,125.54960072797091,12959.574159906622,12806.9404813179,5607.63,2006
