count_point_id,name,local_authority_name
20536,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
20547,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
20577,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
20625,Vale of Glamorgan,The Vale of Glamorgan
20626,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
20627,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
20631,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
20651,Vale of Glamorgan,The Vale of Glamorgan
20655,Vale of Glamorgan,The Vale of Glamorgan
20717,Dumfries and Galloway,Dumfries & Galloway
20718,Dumfries and Galloway,Dumfries & Galloway
20728,Perth and Kinross,Perth & Kinross
20730,Perth and Kinross,Perth & Kinross
20749,Dumfries and Galloway,Dumfries & Galloway
20750,Dumfries and Galloway,Dumfries & Galloway
20772,Argyll and Bute,Argyll & Bute
20804,Perth and Kinross,Perth & Kinross
20819,Perth and Kinross,Perth & Kinross
20835,Dumfries and Galloway,Dumfries & Galloway
20836,Dumfries and Galloway,Dumfries & Galloway
20837,Dumfries and Galloway,Dumfries & Galloway
20844,Perth and Kinross,Perth & Kinross
20862,Perth and Kinross,Perth & Kinross
20865,Perth and Kinross,Perth & Kinross
20877,Dumfries and Galloway,Dumfries & Galloway
20882,Dumfries and Galloway,Dumfries & Galloway
20883,Dumfries and Galloway,Dumfries & Galloway
20884,Dumfries and Galloway,Dumfries & Galloway
20885,Dumfries and Galloway,Dumfries & Galloway
20888,Dumfries and Galloway,Dumfries & Galloway
20889,Dumfries and Galloway,Dumfries & Galloway
20906,Dumfries and Galloway,Dumfries & Galloway
20911,Dumfries and Galloway,Dumfries & Galloway
20925,Argyll and Bute,Argyll & Bute
20927,Perth and Kinross,Perth & Kinross
20937,Argyll and Bute,Argyll & Bute
20938,Argyll and Bute,Argyll & Bute
20939,Argyll and Bute,Argyll & Bute
20942,Na h-Eileanan Siar,Comhairle nan Eilean Siar
20943,Na h-Eileanan Siar,Comhairle nan Eilean Siar
20946,Na h-Eileanan Siar,Comhairle nan Eilean Siar
20947,Na h-Eileanan Siar,Comhairle nan Eilean Siar
20953,Argyll and Bute,Argyll & Bute
20969,Perth and Kinross,Perth & Kinross
20975,Perth and Kinross,Perth & Kinross
21019,Dumfries and Galloway,Dumfries & Galloway
21022,Argyll and Bute,Argyll & Bute
26083,Central Bedfordshire,Bedfordshire
26170,Bedford,Bedfordshire
26330,Cornwall,Cornwall excluding Isles of Scilly
26332,Cornwall,Cornwall excluding Isles of Scilly
26335,Cornwall,Cornwall excluding Isles of Scilly
26374,"Bournemouth, Christchurch and Poole",Bournemouth
26415,Cornwall,Cornwall excluding Isles of Scilly
26416,Cornwall,Cornwall excluding Isles of Scilly
26423,Cornwall,Cornwall excluding Isles of Scilly
26424,Cornwall,Cornwall excluding Isles of Scilly
26427,Cornwall,Cornwall excluding Isles of Scilly
26447,Cheshire West and Chester,Cheshire
26447,Cheshire West and Chester,West Cheshire
26523,Cheshire West and Chester,Cheshire
26523,Cheshire West and Chester,West Cheshire
26540,Cheshire East,Cheshire
26540,Cheshire East,East Cheshire
26558,Cheshire West and Chester,Cheshire
26558,Cheshire West and Chester,West Cheshire
26559,Cheshire East,Cheshire
26559,Cheshire East,East Cheshire
26569,Cheshire West and Chester,Cheshire
26569,Cheshire West and Chester,West Cheshire
26636,County Durham,Durham
26734,County Durham,Durham
26749,County Durham,Durham
26967,"Bournemouth, Christchurch and Poole",Bournemouth
26971,"Bournemouth, Christchurch and Poole",Poole
26990,"Bournemouth, Christchurch and Poole",Poole
27035,Cornwall,Cornwall excluding Isles of Scilly
27057,Cornwall,Cornwall excluding Isles of Scilly
27058,Cornwall,Cornwall excluding Isles of Scilly
27061,Cornwall,Cornwall excluding Isles of Scilly
27063,Cornwall,Cornwall excluding Isles of Scilly
27114,Central Bedfordshire,Bedfordshire
27150,Bedford,Bedfordshire
27267,Cheshire East,Cheshire
27267,Cheshire East,East Cheshire
27273,Cheshire East,Cheshire
27274,Cheshire East,Cheshire
27274,Cheshire East,East Cheshire
27277,Cheshire East,Cheshire
27277,Cheshire East,East Cheshire
27278,Cheshire West and Chester,Cheshire
27278,Cheshire West and Chester,West Cheshire
27279,Cheshire East,Cheshire
