year,local_authority_name,sum_cycles,change_cycles,mean_cycles,n_cycles,cycling_2011,multiplier
2010,Renfrewshire,2132,1.0044334402829156,13.967948717948717,13,NA,1.1278990021150663
2010,"Rhondda, Cynon, Taff",4416,0.8858270971225022,12.700667828106852,41,NA,0.6940077268587197
2010,Richmond upon Thames,63265,0.6476299691104762,440.62632850241545,23,NA,0.9522897702727227
2010,Rochdale,4289,0.8946794435788421,33.60915032679738,17,NA,1.10210936357661
2010,Rotherham,6793,0.8764581193929077,23.289957264957266,39,NA,0.6450997595867225
2010,Rutland,1159,0.20215633423180593,41.30555555555556,3,NA,0.10064581061813302
2010,Salford,24802,0.7903194197377976,110.12685185185185,39,NA,0.8957817655470601
2010,Sandwell,11112,0.6962266159601407,30.37007575757576,44,NA,0.7429766523759681
2010,Scottish Borders,1904,0.823464635176535,12.331490929705215,14,NA,1.086137064510763
2010,Sefton,15153,0.9011671889659101,80.1037037037037,27,NA,0.9158431557718214
2010,Sheffield,24438,0.6820431976194655,60.316708754208754,66,NA,0.6251542182343258
2010,Shetland Islands,57,5.319444444444445,1.1222222222222222,2,NA,6.085805084745763
2010,Shropshire,6272,0.9265236054269924,19.267709486895534,43,NA,0.860182093046554
2010,Slough,8375,0.8372214683657894,118.20115740740741,12,NA,0.7994913790989312
2010,Solihull,11744,0.7551299318723687,41.15109126984127,36,NA,0.6035613544263404
2010,Somerset,22111,0.968745856616497,35.98709563994374,79,NA,0.8465897437239676
2010,South Ayrshire,2061,1.1974922363917841,20.53459595959596,11,NA,1.576116646348775
2010,South Gloucestershire,33896,0.890617332378942,102.16962081128747,45,NA,0.9108268433785064
2010,South Lanarkshire,2509,0.6749480991363589,12.044255479969765,21,NA,1.6348667201007694
2010,South Tyneside,7394,0.909874146702471,53.93293650793651,21,NA,0.7531683761841208
2010,Southampton,30070,0.7622547697070247,115.80428004535148,28,NA,0.7224565671227482
2010,Southend-on-Sea,9608,0.9159888154913269,81.44111111111111,15,NA,1.0023463461827815
2010,Southwark,329974,1.0576416420299863,2493.180725623583,21,NA,1.1642147056275898
2010,St. Helens,9037,0.8427804675010122,53.549814814814816,30,NA,0.7951722047257731
2010,Staffordshire,24177,0.9629760286100155,25.782448607858445,122,NA,0.8035656720180266
2010,Stirling,3518,0.787048742925164,23.63086419753086,9,NA,1.3459552942365869
2010,Stockport,20942,0.874541494155646,71.56754385964912,38,NA,0.9415290733481526
2010,Stockton-on-Tees,8609,0.9643750876056184,33.89180242272347,38,NA,0.8129549389090925
2010,Stoke-on-Trent,8519,0.9925160134189728,35.038328157349895,46,NA,0.7483837645391085
2010,Suffolk,35429,0.9566839340242114,46.79082722832723,104,NA,0.9051036670798801
2010,Sunderland,8487,0.9099156910137333,23.70565873015873,50,NA,1.0515220133071879
2010,Surrey,110258,0.8361383067570516,61.06928971894568,218,NA,0.7917626924064988
2010,Sutton,12349,1.2844135188839259,64.45399305555556,16,NA,1.2535426990324579
2010,Swansea,7313,0.8201676286199936,17.853809523809524,35,NA,0.7150422466251811
2010,Swindon,21437,0.9346983865296932,78.3394894894895,37,NA,0.7912304314988552
2010,Tameside,6926,0.8443985503431483,44.91180555555555,16,NA,0.9851389590880745
2010,Telford and Wrekin,6520,0.9323101737111102,22.643993993993995,37,NA,0.74529116586634
2010,The Vale of Glamorgan,4263,0.8825866966074899,27.757264957264958,26,NA,1.092987510204985
2010,Thurrock,7181,1.3602061986737766,22.542407407407406,30,NA,1.1054728205347943
2010,Torbay,4117,0.919879991432297,36.20238095238095,14,NA,0.7965845512519543
2010,Torfaen,1928,1.1500184947051155,8.705026455026456,21,NA,0.9903820997250392
2010,Tower Hamlets,176450,1.0914279559795863,777.2627946127947,33,NA,1.4704592198399276
2010,Trafford,38501,0.8666637881530972,167.61454248366013,34,NA,0.8164029411402892
2010,Wakefield,13057,0.8492657007207534,43.62388888888889,40,NA,0.9250497113666408
2010,Walsall,4917,0.8705789311223505,28.10874485596708,27,NA,0.8854496751402404
2010,Waltham Forest,15246,2.8992942303345184,61.007828282828285,11,NA,4.5172232489803354
2010,Wandsworth,194568,0.9141164015743382,804.5937301587302,30,NA,1.024684667762325
2010,Warrington,16092,0.8097661885306874,73.4795493197279,28,NA,0.815736598906792
2010,Warwickshire,35015,1.0976352261730418,39.33117516012253,114,NA,1.0401495825376856
2010,West Berkshire,5582,1.2095141095795328,31.844958847736624,27,NA,1.3977792718722242
2010,West Cheshire,19824,0.8996533690743903,42.83326404635928,63,NA,0.8265803494092414
2010,West Dunbartonshire,1945,0.7995114485774681,36.03333333333333,6,NA,1.2584508881749177
2010,West Lothian,2186,0.7029631471369892,27.92150072150072,11,NA,0.7892326401548212
2010,West Sussex,51262,0.9035577276760188,40.86776001776002,143,NA,0.7969004291206103
2010,Westminster,561806,0.9606334505032966,1844.1660624098124,44,NA,1.0913654187169373
2010,Wigan,12585,0.7521721102408515,52.694708994708996,30,NA,0.6338899917383511
2010,Wiltshire,15187,0.9996174284538207,27.079106280193237,69,NA,0.9295454814666952
2010,Windsor and Maidenhead,17784,0.8916765264825544,76.93601712614871,38,NA,0.7250633510274785
2010,Wirral,11568,0.8423618509212405,45.84045138888889,32,NA,0.792799986101293
2010,Wokingham,10625,0.8485281807603003,66.70104875283447,28,NA,0.8119067924030396
2010,Wolverhampton,11005,1.055429568528739,55.520337301587304,28,NA,0.9791123287782472
2010,Worcestershire,23079,1.0412289088654292,30.341472303207,98,NA,0.915220670089285
2010,Wrexham,3361,0.9497952669795912,18.443083900226757,21,NA,0.7909260182895353
2010,York,49373,0.9600549185978234,245.01117724867726,30,NA,1.0553303847710054
2010,NA,12086,0.7256293841130096,28.38022774327122,46,NA,0.9888532736764375
2011,Aberdeen City,8004,1.1513340971712085,66.95185714285714,25,1.1513340971712085,1
2011,Aberdeenshire,2523,1.0478732454412258,10.748768472906404,29,1.0478732454412258,1
2011,Angus,884,0.6280821613114124,7.1722222222222225,13,0.6280821613114124,1
2011,Argyll & Bute,748,0.3786505302130302,12.99236111111111,8,0.3786505302130302,1
2011,Barking and Dagenham,8469,0.4903117054259371,90.77694444444444,10,0.4903117054259371,1
2011,Barnet,20532,0.851285445113503,67.78849206349206,37,0.851285445113503,1
2011,Barnsley,5513,1.069705633000282,23.555555555555557,30,1.069705633000282,1
2011,Bath and North East Somerset,16761,1.0115184424296766,71.98611111111111,24,1.0115184424296766,1
2011,Bedford,10706,1.1851316447828348,56.74926984126984,25,1.1851316447828348,1
2011,Bexley,8155,0.8606064760894326,37.002815570672716,21,0.8606064760894326,1
2011,Birmingham,51025,0.942690922097097,42.0687746031746,125,0.942690922097097,1
2011,Blackburn with Darwen,1977,1.0426699643005,30.245098039215687,17,1.0426699643005,1
2011,Blackpool,8826,1.1087295815402918,80.11196581196582,13,1.1087295815402918,1
2011,Blaenau Gwent,516,0.44629290462623794,7.408333333333333,6,0.44629290462623794,1
2011,Bolton,15291,1.1949875599018642,46.3390243902439,41,1.1949875599018642,1
2011,Bournemouth,20514,1.175574007839482,136.35570987654322,18,1.175574007839482,1
2011,Bracknell Forest,6475,1.0506896276526312,39.47834467120182,21,1.0506896276526312,1
2011,Bradford,16863,0.925583880692356,29.858650793650792,55,0.925583880692356,1
2011,Brent,25554,0.8771509487181446,95.61194444444445,20,0.8771509487181446,1
2011,Bridgend,4464,1.2863162567921609,28.080555555555556,20,1.2863162567921609,1
2011,Brighton and Hove,51797,0.9572223655409008,260.8237868480726,35,0.9572223655409008,1
2011,"Bristol, City of",115922,0.9280313613488335,224.37187032045523,53,0.9280313613488335,1
2011,Bromley,16056,0.7898713375194991,64.70201149425287,29,0.7898713375194991,1
