year,Borough,n_counters,total_counts,mean_counts,mean_counts_2015,relative_to_2015
2017,Hammersmith & Fulham,42,39540,7.354910714285714,7.214934593023256,1.019400885684787
2017,Haringey,22,8016,2.846590909090909,2.9548233695652173,0.963370920377473
2017,Harrow,17,676,0.31066176470588236,0.4131944444444444,0.7518536826495305
2017,Havering,18,1840,0.7986111111111112,0.6840277777777778,1.16751269035533
2017,Hillingdon,35,3778,0.8433035714285715,0.8794642857142857,0.9588832487309645
2017,Hounslow,20,7639,2.983984375,2.78515625,1.0713884992987377
2017,Islington,63,191577,13.606321022727274,14.309801136363635,0.9508392809283213
2017,Kensington & Chelsea,47,43684,7.261303191489362,7.594889322916666,0.9560775519900273
2017,Kingston upon Thames,15,6352,3.308333333333333,2.7526041666666665,1.2018921475875117
2017,Lambeth,88,203681,10.332842938311687,11.047270569620254,0.9353299417438705
